Singles (2003),"""Looking For Love"""," ""Single Life"""," ""Twentysomething Life""",,,,,,
Food for the Heart (1999),"""Women's Friendship"""," ""Eccentric Families"""," ""Single Life"""," ""Single Parents"""," ""Unrequited Love""",,,,
One Is a Lonely Number (1972),"""Breakups and Divorces"""," ""Looking For Love"""," ""Single Life"""," ""Starting Over"""," ""Twentysomething Life"""," ""Women's Friendship""",,,
The Lonely Guy (1984),"""Single Life"""," ""Starting Over"""," ""Nothing Goes Right"""," ""Breakups and Divorces""",,,,,
She's One of Us (2003),"""Single Life"""," ""Misfits and Outsiders"""," ""Murder Investigations""",,,,,,
Next Stop Wonderland (1998),"""Mothers and Daughters"""," ""Looking For Love"""," ""Single Life"""," ""Cons and Scams"""," ""Women's Friendship""",,,,
Strange as Angels (2004),"""Breakups and Divorces"""," ""Single Life"""," ""Starting Over""",,,,,,
Easy (2003),"""Love Triangles"""," ""Playing the Field"""," ""Single Life"""," ""Twentysomething Life""",,,,,
Three's Company [TV Series] (1977),"""Playing the Field"""," ""Single Life""",,,,,,,
Cake (2005),"""Fathers and Daughters"""," ""Single Life"""," ""Writer's Life""",,,,,,
Mannequin (1987),"""Down on Their Luck"""," ""Lovers on the Lam"""," ""Reincarnation""",,,,,,
"Christmas, Again (2014)","""All Washed Up"""," ""Single Life"""," ""Twentysomething Life"""," ""Unlikely Friendships""",,,,,
Speed 2: Cruise Control (1997),"""Hijackings"""," ""Woman In Jeopardy"""," ""Race Against Time"""," ""Ship Cruises"""," ""Nightmare Vacations""",,,,
Le Clan des Siciliens (1969),"""Hijackings"""," ""Jewel Theft"""," ""Crime Gone Awry"""," ""Dishonor Among Thieves""",,,,,
Passenger 57 (1992),"""Daring Rescues"""," ""Rogue Cops"""," ""Hijackings"""," ""Terrorism""",,,,,
September 11 (2002),"""Hijackings"""," ""Innocence Lost"""," ""Terrorism""",,,,,,
Ertefa-e Past (2002),"""Hijackings""",,,,,,,,
The Last Siege: Never Surrender (2001),"""Hijackings"""," ""Race Against Time"""," ""Terrorism""",,,,,,
Crocodile 2: Death Swamp (2001),"""Daring Rescues"""," ""Hijackings"""," ""Woman In Jeopardy""",,,,,,
Tales of the City (1993),"""Bohemian Life"""," ""Love Triangles"""," ""Looking For Love"""," ""Playing the Field"""," ""Sexual Awakening"""," ""Twentysomething Life""",,,
Love for Lydia (1979),"""Love Triangles"""," ""Orphans"""," ""Playing the Field"""," ""Social Climbing""",,,,,
Happily Ever After (2004),"""Infidelity"""," ""Foibles of Marriage"""," ""Looking For Love"""," ""Playing the Field""",,,,,
Alfie (1966),"""Playing the Field""",,,,,,,,
Shampoo (1975),"""Playing the Field""",,,,,,,,
How to Be Single (2016),"""Looking For Love"""," ""Single Life"""," ""Intersecting Lives"""," ""Playing the Field"""," ""Twentysomething Life""",,,,
He's Just Not That Into You (2009),"""Looking For Love"""," ""Battle of the Sexes"""," ""Crumbling Marriages"""," ""Playing the Field"""," ""Single Life""",,,,
The Man Who Loved Women (1977),"""Infidelity"""," ""Love Triangles"""," ""Playing the Field""",,,,,,
She's Gotta Have It (1986),"""Playing the Field"""," ""Single Life""",,,,,,,
"Norman Conquests, Part 1: Table Manners (1980)","""Eccentric Families"""," ""Playing the Field""",,,,,,,
The Pleasure Seekers (1964),"""Playing the Field""",,,,,,,,
