movie,scene1,scene2,scene3
Grandma's Boy (2006),"['touring car', 'deer', 'woman', 'barmaid', 'sliding door', 'Virginia deer', 'elevator car', 'wine merchant', 'people', 'elevator', 'mantilla (womens scarf)', 'cigar smoker', 'zoo keeper', 'storm door', 'cycle rickshaw', 'fur coat', 'young man', 'pea jacket', 'jamb (of door or window)', 'revolving door', 'beverage consumer', 'buck', 'bomber jacket', 'jacket', 'waitress']","['television reporter', 'platinum blond', 'family', 'people', 'religion related', 'computer user', 'sibling', 'barmaid', 'big sister', 'sociologist', 'art gallery', 'newsreader', 'grandmother', 'great-aunt', 'mug', 'lecturer', 'woman', 'hairdresser', 'headwaiter', 'grandmother (nan)', 'call center', 'magician', 'teacher', 'waiter', 'broadcasting', 'reception']","['woman in pantyhose', 'woman', 'tunic', 'platinum blond', 'redhead (hair)', 'deflector', 'hearse', 'makeup', 'clown', 'outside mirror', 'bed jacket', 'female', 'hairpiece (hair)', 'windshield', 'young girl', 'dressing gown', 'car mirror']"
Kill the Messenger (2014),"['ensemble of people', 'boxing (light heavyweight)', 'people', 'hotel setting', 'brasserie', 'surgical instrument', 'sprinkler', 'reading lamp', 'discussion', 'actor', 'heavyweight wrestler', 'knife', 'woman', 'hairdresser', 'cannon', 'bandage', 'laboratory coat', 'elegant hotel', 'coiffeur (hairdresser)', 'bodyguard', 'naval gun', 'waiter', 'physical therapist', 'support column']","['surgical seam', 'magician', 'stock trader', 'people', 'stick insect', 'dam', 'discussion', 'neon lamp', 'splint', 'vigil light', 'climber', 'pique of dress', 'capitol building', 'Statehouse', 'sports announcer', 'nurse', 'concert-goer', 'swathe (wrapping)', 'hypodermic syringe', 'digital clock']","['washroom', 'witness box', 'woman', 'kitchen help', 'people', 'waiter', 'young girl', 'hairdresser', 'mountainside', 'private', 'battle dress', ""ladies' room"", 'teashop', 'taster', 'uphill', 'canteen', 'model', 'windshield', 'ascent', 'reservist']"
Life of Crime (2013),"['people', 'strolling', 'religion related', 'computer user', 'notebook computer', 'keyboard', 'little theater', 'waterside', 'redhead (hair)', 'personal digital assistant', 'ornithologist (bird watcher)', 'speaker', 'sleeper', 'print media', 'chasuble dress', 'woman', 'fieldwork', 'makeup', 'smoking carriage', 'vestment', 'man and child', 'boy', 'grandfather', 'incubator', 'newborn infant']","['picture frame', 'bow tie', 'golf', 'people', 'woman expecting a baby', 'telephone receiver', 'telephone system', ""ladies' room"", 'telephone call', 'hood (head dress)', 'match play (golf)', 'railing', 'little theater', 'couch', 'speaker', 'reader', 'oceanfront', 'sweetheart', 'woman', 'land line telephone', 'high-definition television', 'sauna', 'host', 'child', 'portrait of a girl', 'puritan religious order', 'active people', 'spectator', 'desk phone']","['taxi', 'people', 'medicine chest', 'forklift', 'vigil light', 'seam', 'mortarboard', 'straitjacket', 'tabloid', 'academic gown', 'projector', 'man with shaven head', 'turban', 'limousine', 'fire', 'cab (vehicle)', 'refrigerator', 'kitchen', 'slide fastener', 'loaner car', 'berlin (limousine)', 'tow truck', 'painter', 'spotlight']"
"Lucky One, The (2012)","['diving bell', 'fur seal', 'woman expecting a baby', 'skating rink', 'computer user', 'Bermuda shorts', 'jodhpur breeches', 'touch screen', 'tea bag', 'skateboarding', 'sphenisciform seabird', 'steel mill', 'lioness', 'mason', 'pinniped mammal', 'artilleryman', 'blinker', 'Alaska fur seal', 'black rhinoceros', 'sconce (lighting)', 'sand dune', 'ice rink', 'army action', 'womens shorts', 'electric-arc furnace']",,"['picture frame', 'telephone jack', 'camisole (womens dress)', 'people', 'garter belt', 'religion related', 'vigil light', 'backlighting', 'glint', 'confidant', 'mainframe computer', 'panty girdle', 'face with veil', 'jalousie (shutter)', 'woman', 'hairdresser', 'supercomputer', 'smoking carriage', 'young man', 'lighter', 'young lady (heroine)', 'corset', 'curling iron', 'person', 'model', 'Band Aid', 'young girl']"
Mamma Mia! (2008),"['medalist', 'platinum blond', 'family', 'people', 'strolling', 'religion related', 'ensemble of people', 'burial chamber', 'operator', 'common stinkhorn', 'people in indian dress', 'reading teacher', 'newsreader', 'false morel', 'friend', 'sweetheart', 'woman', 'Morchella semilibera', 'couple', 'sheet pile', 'sling (bandage)', 'bandage', 'call center', 'teacher', 'sister', 'towel', 'Verpa bohemica', 'seaside', 'agora']",,
"Mise_rables, Les (1995)","['primitive man', 'woman', 'people', 'figure skating', 'actor', 'reservist', 'soldier', 'disk jockey', 'speaker', 'elevator', 'spectator', 'detainee', 'young lady (heroine)', 'dip']",,
Mom's Night Out (2014),"['group of children', 'tenement house', 'people', 'computer user', ""ladies' room"", 'taster', 'motel room', 'clothes closet', 'investor', 'noisemaker', 'manicurist', 'social gathering', 'sweetheart', 'day school', 'hairdresser', 'couple', 'soul mate', 'cabinet', 'listener', 'stateroom', 'friends', 'toothbrush', 'beauty salon', 'face', 'adult with child']","['car mirror', 'intravenous pyelogram', 'display window', 'vigil light', 'autoradiograph', 'bubble gum', 'chewing gum', 'beer hall', 'luggage compartment', 'deflector', 'hearse', 'people', 'fedora (felt hat)', 'people in indian dress', 'keyboardist', 'speaker', 'cloth cap', 'miniskirt', 'red carpet', 'hosiery', 'hairdresser', 'X-ray film', 'orator', 'painter', 'man', 'outside mirror', 'chairlift', 'person']","['stock trader', 'people', 'cat fancier', 'kisser', 'flatmate', 'telephone call', 'woman', 'motorcycle', 'young lady (heroine)', 'newsreader', 'heavyweight wrestler', 'racing', 'traffic cop', 'sweetheart', 'disk jockey', 'rock star', 'cycle rickshaw', 'smoking carriage', 'cockpit', 'adult', 'animal competition show', 'toy poodle', 'pipe smoker', 'celebrity', 'spectator', 'race car']"
No Strings Attached (2011),"['sweetheart', 'woman', 'stock trader', 'people', 'religion related', 'computer user', 'vigil light', 'steward', 'disk jockey', 'speaker', 'batman costume']","['voting booth', 'woman', 'bartender', 'dungeon', 'theater curtain', 'art gallery', 'display window', 'vigil light', 'speaker', 'drop curtain', 'spectator', 'television reporter', 'church bench', 'chador (cloth)', 'batman costume']","['voting booth', 'sequence of shots', 'percussionist  (drum)', 'photo with bars', 'exhibition hall', 'display window', 'Clydesdale horse', 'vigil light', 'color guard', 'tetherball (ball game)', 'organ pipe', 'organist (musician)', 'robe', 'drop curtain']"
Olympus Has Fallen (2013),"['cordgrass', 'stock trader', 'seat belt', 'people', ""ladies' room"", 'windshield', 'snorkeling', 'aqualung (for divers)', 'discussion', 'scuba diver', 'backseat', 'saltbush', 'wiper', 'friend', 'sweetheart', 'display window', 'boss', 'bazaar', 'hall', 'batman costume', 'switch grass', 'official', 'dinner jacket', 'person', 'skin-diver', 'motorcycle policeman', 'saloon', 'scuba diving', 'electric eel']","['taxi', 'villa', 'glassblower', 'people', 'religion related', 'kisser', 'Unknown Soldier', 'police cruiser', 'hearse', 'guitarist', 'father', 'elevator', 'cycle rickshaw', 'knife', 'disk jockey', 'fireman', 'fire', 'photo with bars', 'park bench', 'yard', 'revolver gun', 'weld', 'motorcyclist', 'ambulance', 'storm cellar', 'bumper car']","['confessional', 'people', 'elder statesman', 'theater curtain', 'display window', 'clavier (keyboard like)', 'first class', 'voting booth', 'microphone', 'aerialist', 'elevator', 'keyboardist', 'plane seat', 'man with shaven head', 'washer', 'drop curtain', 'washroom', 'woman', 'submachine gun', 'religion related', 'chador (cloth)', 'khimar (headscarf)', 'senior citizen ', 'call center', 'room light', 'robe', 'patriarch', 'steward', 'high commissioner']"
Pearl Harbor (2001),"['fighter pilot', 'defense system', 'car mirror', 'passenger', 'searchlight', 'clothes pin', 'airplane', 'windshield', 'microphone', 'space station', 'warplane', 'hydrogen bomb', 'jet plane', 'copilot', 'fighter aircraft', 'wiper', 'armament', 'windshield wiper', 'propeller plane', 'smoking carriage', 'craft', 'bomber (aircraft)', 'glider', 'jumbojet', 'biplane', 'airplane propeller']","['fighter pilot', 'woolly aphid insect', 'sequence of shots', 'space station', 'space shuttle', 'airplane', 'windshield', 'acetate rayon', 'hydrogen bomb', 'quadrate', 'fighter aircraft', 'airplane propeller', 'muslin', 'envelope', 'propeller plane', 'suede cloth', 'whale', 'krill', 'brine shrimp', 'jumbojet', 'harp seal', 'lunar crater', 'wing']","['car mirror', 'space station', 'car door', 'porthole', 'outside mirror', 'storm petrel', 'mirror', 'airplane', 'afterburner', 'anopheline mosquito', 'jet plane', 'helicopter', 'windmill', 'common mosquito', 'test rocket', 'oryx antelope', 'warplane', 'shuttle helicopter', 'pipefish', 'glider', 'rearview mirror', 'brine shrimp', 'water strider bug', 'yellow-fever mosquito', 'wing', 'weathercock']"
