movie overview,movie keywords
"To fully appreciate The More the Merrier , it is important to know that, during WW2, there was an acute housing shortage in Washington DC. This is why elderly Benjamin Dingle ( Charles Coburn ) is obliged to share a tiny DC apartment with pretty Connie Milligan ( Jean Arthur ) and handsome Joe Carter ( Joel McCrea ). After nearly two reels of misunderstandings, the trio becomes accustomed to their curious living arrangement. Joe takes a platonic liking to Connie, but she's engaged to stuffy bureaucrat Charles J. Pendergast ( Richard Gaines ). Sizing up the situation, foxy Benjamin contrives to bring Connie and Joe together, in spite of themselves. Things get dicey when Joe endeavors to complete a top-secret mission for the Air Force, which leads to all sorts of comic complications and misguided remonstrations. Throughout the film, director George Stevens and the four-man screenwriting staff deliberately tweak the noses of the Hays Office, getting by with any number of censorable offenses by deftly and tastefully sidestepping the obvious. Especially potent is the scene in which Joe tries to seduce Connie by talking about everything except seduction: it's also fun to watch Dingle robustly repeat the word ""Damn"" over and over, getting away with this breach of censorship because he's quoting Admiral ""Damn the Torpedoes"" Farragut. An Academy Award went to Charles Coburn , while nominations were bestowed upon Jean Arthur , Joel McCrea , George Stevens , the screenwriters, and the film itself. The More the Merrier was remade in 1966 as Walk Don't Run , with Cary Grant , Jim Hutton and Samantha Eggar .","['pretty Connie Milligan', 'Joel McCrea', 'elderly Benjamin Dingle', 'acute housing shortage', 'Charles Coburn', 'handsome Joe Carter', 'bureaucrat Charles J.', 'foxy Benjamin contrives', 'curious living arrangement', 'tiny DC apartment', 'Jean Arthur', 'four-man screenwriting staff', 'George Stevens', 'director George Stevens', 'platonic liking', 'top-secret mission', 'Washington DC', 'Richard Gaines', 'misguided remonstrations', 'Hays Office', 'comic complications', 'Air Force', 'censorable offenses', 'Jim Hutton', 'Samantha Eggar', 'Cary Grant', 'Academy Award']"
"Having alienated virtually all the major Hollywood studios, filmmaker Erich Von Stroheim turned to independent entrepreneur Pat Powers for funding for his 1927 epic The Wedding March . Set during the Austro-Hungarian Hapsburg regime, the film stars director Von Stroheim as wastrelly Prince Nikki, who is advised by his parents to marry into money if he hopes to keep up his sumptuous lifestyle. During the Corpus Christi festival (much of which is lensed in early Technicolor), Nikki spots the beautiful peasant girl Mitzi (Fay Wray) in the crowd. The two fall in love, but happiness eludes them: Nikki is slated to marry the homely, clubfooted daughter (ZaSu Pitts) of a millionaire corn-plaster manufactuer, while Mitzi's erstwhile boy friend, a mean-spirited butcher (Matthew Betz) who despises the aristocracy, promises dire consequences to Nikki for compromising Mitzi. Despite his dissipated, debauched lifestyle, Prince Nikki develops into the most sympathetic character in the film. As it now exists, The Wedding March is one of Von Stroheim's best films; incredibly, it was originally the first half of a two-part production (the second half, The Wedding , no longer exists). Released by Paramount, the film did excellent business during its first week-then dropped off precipitously, one of several factors which caused an irreparable rift between Von Stroheim and his new benefactor Powers.","['Von Stroheim', 'Erich Von Stroheim', 'director Von Stroheim', 'wastrelly Prince Nikki', 'peasant girl Mitzi', 'Austro-Hungarian Hapsburg regime', 'entrepreneur Pat Powers', 'major Hollywood studios', 'erstwhile boy friend', 'new benefactor Powers', 'Corpus Christi festival', 'millionaire corn-plaster manufactuer']"
"Follow 12-year-old Brendan (voice of Evan McGuire ) as he battles Vikings and confronts an ancient serpent god on a mission to locate a legendary crystal and complete the mythical Book of Kells. Brendan lives in a heavily fortified medieval outpost known as the Abbey of Kells, where the ongoing threat of Viking raids causes the peaceful monks to live in a state of constant fear. Along with his uncle, Abbot Cellach, Brendan labors to fortify the abbey walls daily so his people will be protected from invading forces. When the mysterious Brother Aidan arrives at the abbey carrying an unfinished tome filled mystical secrets, Brendan becomes illuminated, and his dormant talents are awakened. The book must be finished, but accomplishing that mission will be no simple task. As the Vikings close in, Brendan ventures into the surrounding forest and prepares to confront his darkest fears. Accompanying him on his dangerous mission is Aisling, a half-wolf/half-human fairy whose powers will help to guide Brendan through this enchanting yet dangerous new world.","['Brendan', '12-year-old Brendan', 'ancient serpent god', 'Brendan labors', 'mysterious Brother Aidan', 'Brendan ventures', 'Evan McGuire', 'Viking raids', 'abbey walls', 'legendary crystal', 'mythical Book', 'dormant talents', 'peaceful monks', 'unfinished tome']"
"Two longtime friends take stock of their accomplished artistic careers in this meditative drama written and directed by Paolo Sorrentino . Michael Caine stars as Fred Ballinger, a retired composer who, at the behest of his daughter ( Rachel Weisz ), is on vacation in the Alps with his friend Mick Boyle ( Harvey Keitel ), a filmmaker currently working on a new project. Fred believes he is enjoying his retirement, but he is soon approached with an offer of a British knighthood if he'll conduct a performance of a famous piece he wrote.","['friend Mick Boyle', 'Paolo Sorrentino', 'Fred Ballinger', 'meditative drama', 'Rachel Weisz', 'longtime friends', 'Harvey Keitel', 'artistic careers', 'Michael Caine', 'British knighthood', 'new project', 'famous piece']"
"Titanic shipmates Kathy Bates , Leonardo DiCaprio , and Kate Winslet step onboard for director Sam Mendes ' tale of suburban malaise in 1950s-era Connecticut. Adapted from the classic 1961 novel by author Richard Yates , Revolutionary Road tells the tale of a young Connecticut couple whose once-idealistic relationship steadily deteriorates into a ceaseless cycle of petty jealousy and bickering as they strive to retain their independence in the conformity-obsessed world of picket fences and perfectly manicured lawns. Ever since they first met, Frank ( DiCaprio ) and April ( Winslet ) saw themselves as special and different. They strive to form their relationship around higher ideals, though upon moving into their new home on Revolutionary Road, the defiant couple pledges never to be confined by the social conventions of the era. As time passes, however, Frank and April gradually become the very thing that they both feared most -- a typical suburban family complete with abandoned dreams and faded hopes. Frank loses his nerve after taking a comfortable job with a reliable salary, and April morphs into an unsatisfied homemaker desperate for passion and excitement. But April's independent spirit hasn't been suffocated just yet, and when she hatches a plan to head for Paris, her need to escape at all costs stands in direct contrast to Frank's desire to hold on to what they already have.","['Winslet step onboard', 'director Sam Mendes', 'Revolutionary Road', 'defiant couple pledges', 'author Richard Yates', 'young Connecticut couple', 'typical suburban family', 'Leonardo DiCaprio', 'suburban malaise', '1950s-era Connecticut', 'ceaseless cycle', 'petty jealousy', 'Kathy Bates', 'unsatisfied homemaker', 'picket fences', 'conformity-obsessed world', 'higher ideals', 'once-idealistic relationship', 'direct contrast', 'new home', 'comfortable job', 'social conventions', 'reliable salary', 'costs stands']"
"John Cassavetes ' harrowing masterpiece charts the emotional meltdown of a suburban housewife and its effects on her blue-collar Italian family. Gena Rowlands stars as Mabel Longhetti, a mother of three whose husband Nick ( Peter Falk ) works as a construction worker; a mismatched couple like so many others in Cassavetes films, the Longhettis seem to be complete opposites: she's impetuous, extroverted, and fragile, while he's controlling, distant, and hard-bitten. Their differences underscore a series of domestic dramas, culminating in a nervous breakdown that sends Mabel to a psychiatric hospital for six months, only to return to a home environment on even thinner ice than before. The improvisational style central to Cassavetes' vision is at its most acute throughout A Woman Under the Influence . Like its title heroine, the film threatens to veer out of control at any time, its shape and scope defined not by narrative but by the emotional upheaval at its center. Embracing the full spectrum of the Longhettis' relationship, from seismic bursts of high drama to small, even trivial moments of domestic tedium, its long scenes relentlessly probe every nook and cranny of the family's life, drawing out each moment for maximum emotional impact; the film is by turns beautiful and ugly, illuminating and frustrating, and it features a performance by Rowlands as heartwrenching and unforgettable as any ever committed to celluloid.","['harrowing masterpiece charts', 'blue-collar Italian family', 'maximum emotional impact', 'John Cassavetes', 'Cassavetes films', 'Gena Rowlands', 'emotional meltdown', 'Mabel Longhetti', 'suburban housewife', 'emotional upheaval', 'mismatched couple', 'complete opposites', 'Peter Falk', 'thinner ice', 'domestic tedium', 'seismic bursts', 'husband Nick', 'trivial moments', 'construction worker', 'nervous breakdown', 'domestic dramas', 'improvisational style', 'psychiatric hospital', 'title heroine', 'home environment', 'high drama', 'long scenes']"
"Oscar-nominated filmmaker Todd Field teams with novelist Tom Perrotta to adapt Perrotta 's acclaimed novel concerning the suburban malaise experienced by a handful of small-town individuals whose intersecting lives converge in a variety of surprising, and sometimes ominous, ways. Kate Winslet , Jennifer Connelly , and Patrick Wilson star in a cinematic adaptation that doesn't aim so much to simply reproduce the book for the screen as it does to re-imagine the written word by exploring new possibilities for the characters and situations originally presented in Perrotta 's 2004 best-seller. Sarah ( Winslet ) is a suburban outsider who, unlike the other playground moms, isn't afraid to approach the dreamy but long-absent father whom smitten housewives have taken to calling the ""Prom King."" Long days at the local community pool with their respective children soon find Sarah becoming acquainted with local husband and father Brad ( Patrick Wilson ) -- who seems to share in her seething discontentment with life in their quaint commuter town. An English literature major who never envisioned a fate as a soccer mom, Sarah has a growing dissatisfaction with her successful husband ( Gregg Edelman ) that parallels Brad's increasing frustration with his inability to pass the bar and connect with his wife, Kathy ( Jennifer Connelly ), a successful documentary filmmaker. It's not long before the dejected pair is meeting for a series of illicit afternoon trysts as their unsuspecting spouses work and their children lie quietly napping. Meanwhile, after the community is riled by the return of a convicted sex offender ( Jackie Earle Haley ) who leaves the concerned parents scrambling to protect their young ones, an attempt made by Sarah and Brad to legitimize their clandestine relationship by dining together with their respective spouses begins to awaken Kathy's suspicions about the fidelity of her husband.","['Oscar-nominated filmmaker Todd', 'Jennifer Connelly', 'novelist Tom Perrotta', 'Patrick Wilson', 'Patrick Wilson star', 'quaint commuter town', 'Jackie Earle Haley', 'successful documentary filmmaker', 'local community pool', 'illicit afternoon trysts', 'English literature major', 'suburban malaise', 'Kate Winslet', 'small-town individuals', 'respective spouses', 'local husband', 'successful husband', 'father Brad', 'unsuspecting spouses', 'acclaimed novel', 'Field teams', 'seething discontentment', 'respective children', 'suburban outsider', 'cinematic adaptation', 'Prom King', 'new possibilities', 'Gregg Edelman', 'playground moms', 'long-absent father']"
"Screenwriter Don Roos made his directorial debut with this oddball sex comedy. The tale is narrated by 16-year-old Louisiana tramp Dedee Truitt ( Christina Ricci ), who buries her stepfather and then heads for Indiana to visit her homosexual half-brother Bill ( Martin Donovan ). Recovering from the AIDS death of longtime companion Tom, schoolteacher Bill has linked up with a new partner, handsome Matt ( Ivan Sergei ). After Dedee seduces Matt and claims she's pregnant by him, the couple steals $10,000 from Bill's safety deposit box and heads for L.A. Alarmed by Matt's seeming disappearance and hoping to blackmail Bill into disclosing Matt's whereabouts, Bill's former student (also Matt's former beau) Jason ( Johnny Galecki ) accuses Bill of molestation four years previous, a charge that jeopardizes Bill's job as a schoolteacher. To clear his name, Bill, and Tom's sister Lucia ( Lisa Kudrow ), leave for L.A. to locate Matt and Dedee. Lucia is a repressed old maid who flinches from even the thought of sex, but even so, weird Sheriff Tippett ( Lyle Lovett ) takes a fancy to her. Meanwhile, questions are raised about the true father of Dedee's baby, and the film comes to a climax with a shooting, a cross-county chase, and the inevitable showdown between the quirky characters. Shown at the 1998 Sundance Film Festival.","['tramp Dedee Truitt', 'Screenwriter Don Roos', 'oddball sex comedy', 'longtime companion Tom', 'repressed old maid', 'safety deposit box', 'weird Sheriff Tippett', 'Sundance Film Festival', 'directorial debut', 'L.A. Alarmed', 'Johnny Galecki', 'Christina Ricci', 'sister Lucia', 'Ivan Sergei', 'Martin Donovan', 'Lisa Kudrow', 'inevitable showdown', 'Lyle Lovett', 'AIDS death', 'new partner', 'quirky characters', 'cross-county chase', 'true father']"
"The Incredible Shrinking Woman , directed by Joel Schumacher, is an attempted social satire focusing on the position of women in our society and our social values.  After being exposed to a bizarre mixture of household chemicals, Pat Kramer ( Lily Tomlin ) begins to shrink.  While this baffles scientists and makes parenting difficult, Pat captures the hearts of the American people. An evil political group who plots world domination kidnaps Pat and performs experiments on her to learn the secret of how to shrink everyone. The screenplay was written by Jane Wagner , Tomlin 's frequent collaborator; Charles Grodin plays Pat's husband.","['domination kidnaps Pat', 'Incredible Shrinking Woman', 'evil political group', 'Lily Tomlin', 'Joel Schumacher', 'bizarre mixture', 'frequent collaborator', 'social satire', 'social values', 'household chemicals', 'Jane Wagner', 'American people', 'Charles Grodin']"
"Fans of the 1970s cartoon series The Littles may enjoy its live-action spiritual ancestor The Borrowers . Dennis Larson plays an eight-year-old boy living in Victorian England. While exploring his aunt's ( Dame Judith Anderson ) mansion, Larson peeks under the floorboards...and what should he see but a family of inches-high humans ( Eddie Albert , Tammy Grimes , Karen Pearson ), who survive by ""borrowing"" bits and pieces from the Big People. Discovered, the Borrowers scramble to avoid being captured and displayed as curiosities. First telecast December 14, 1973, The Borrowers was based on the novel by Mary Norton (of Bedknobs and Broomsticks fame).","['live-action spiritual ancestor', 'Dame Judith Anderson', 'Larson peeks', 'Dennis Larson', 'Borrowers', 'eight-year-old boy', 'Tammy Grimes', 'Broomsticks fame', 'cartoon series', 'Karen Pearson', 'Eddie Albert', 'Victorian England', 'inches-high humans']"
